time (days since 1610-01-01),wavelength (nm),irradiance (W/m^2/nm)
151757.0,0.5,1.994836020458024E-5
151757.0,1.5,1.9483204232528806E-4
151757.0,2.5,6.713328184559941E-5
151757.0,3.5,3.892653694492765E-5
151757.0,4.5,6.203822704264894E-5
151757.0,5.5,5.371731458581053E-5
151757.0,6.5,1.4343488146550953E-4
151757.0,7.5,9.986969962483272E-5
151757.0,8.5,9.120960748987272E-5
151757.0,9.5,7.137763896025717E-5
151757.0,10.5,5.1220682507846504E-5
151757.0,11.5,3.2712214306229725E-5
151757.0,12.5,1.8073122191708535E-5
151757.0,13.5,1.8532551621319726E-5
151757.0,14.5,3.9908296457724646E-5
151757.0,15.5,4.079223072039895E-5
151757.0,16.5,5.6309370847884566E-5
151757.0,17.5,3.2547322916798294E-4
151757.0,18.5,2.7716814656741917E-4
151757.0,19.5,2.3035875346977264E-4
151757.0,20.5,1.7106611630879343E-4
151757.0,21.5,1.2436222459655255E-4
151757.0,22.5,1.393445418216288E-4
151757.0,23.5,7.930773426778615E-5
151757.0,24.5,1.0134154581464827E-4
151757.0,25.5,1.729643263388425E-4
151757.0,26.5,5.709391552954912E-5
151757.0,27.5,6.158542964840308E-5
151757.0,28.5,1.219033365487121E-4
151757.0,29.5,2.9919363441877067E-5
151757.0,30.5,6.864020833745599E-4
151757.0,31.5,5.3417024901136756E-5
151757.0,32.5,2.0614566892618313E-5
151757.0,33.5,1.671468635322526E-4
151757.0,34.5,7.497842307202518E-5
151757.0,35.5,6.77158750477247E-5
151757.0,36.5,1.3616043725050986E-4
151757.0,37.5,8.306294148496818E-6
151757.0,38.5,9.8045238701161E-6
151757.0,39.5,6.6368224906909745E-6
151757.0,40.5,1.1241545507800765E-5
151757.0,41.5,1.6968002455541864E-5
151757.0,42.5,4.255347448633984E-6
151757.0,43.5,1.8640335838426836E-5
151757.0,44.5,9.473662430536933E-6
151757.0,45.5,4.720573542726925E-6
151757.0,46.5,2.2650972823612392E-5
151757.0,47.5,7.654460205230862E-6
151757.0,48.5,1.657665598031599E-5
151757.0,49.5,5.14492676302325E-5
151757.0,50.5,2.9887276468798518E-5
151757.0,51.5,6.3101169871515594E-6
151757.0,52.5,2.131201654265169E-5
151757.0,53.5,1.1018591067113448E-5
151757.0,54.5,4.47015008830931E-6
151757.0,55.5,3.254925104556605E-5
151757.0,56.5,6.2963704294816125E-6
151757.0,57.5,4.113245722692227E-6
151757.0,58.5,7.079151691868901E-5
151757.0,59.5,6.372646566887852E-6
151757.0,60.5,3.1777155527379364E-5
151757.0,61.5,1.3015531294513494E-5
151757.0,62.5,6.220093200681731E-5
151757.0,63.5,1.6341160517185926E-5
151757.0,64.5,1.8858219164030743E-6
151757.0,65.5,2.0365851014503278E-6
151757.0,66.5,2.797867182380287E-6
151757.0,67.5,2.6275658910890343E-6
151757.0,68.5,8.01278292783536E-6
151757.0,69.5,4.019991138193291E-6
151757.0,70.5,1.4746926353836898E-5
151757.0,71.5,4.801853265234968E-6
151757.0,72.5,3.7232327940728283E-6
151757.0,73.5,4.251289738022024E-6
151757.0,74.5,6.321228283923119E-6
151757.0,75.5,8.715749572729692E-6
151757.0,76.5,2.178122849727515E-5
151757.0,77.5,1.9970273569924757E-5
151757.0,78.5,3.139582622679882E-5
151757.0,79.5,2.155967194994446E-5
151757.0,80.5,1.3448244317260105E-5
151757.0,81.5,1.6411069736932404E-5
151757.0,82.5,1.9524801246006973E-5
151757.0,83.5,4.666619133786298E-5
151757.0,84.5,2.7042160581913777E-5
151757.0,85.5,3.2694013498257846E-5
151757.0,86.5,3.720718086697161E-5
151757.0,87.5,4.49873878096696E-5
151757.0,88.5,5.1309445552760735E-5
151757.0,89.5,6.027605923009105E-5
151757.0,90.5,7.544628897449002E-5
151757.0,91.5,5.6869386753533036E-5
151757.0,92.5,1.5876956240390427E-5
151757.0,93.5,1.884004996099975E-5
151757.0,94.5,1.5494228136958554E-5
151757.0,95.5,5.81009044253733E-6
151757.0,96.5,1.910997525556013E-6
151757.0,97.5,1.9549677381291986E-4
151757.0,98.5,8.355590580322314E-6
151757.0,99.5,1.8684877431951463E-5
151757.0,100.5,5.210401468502823E-6
151757.0,101.5,6.2154272200132255E-6
151757.0,102.5,1.2866384349763393E-4
151757.0,103.5,1.363680639769882E-4
151757.0,104.5,6.232611212908523E-6
151757.0,105.5,7.360862127825385E-6
151757.0,106.5,1.4818144336459227E-5
151757.0,107.5,1.6781239537522197E-5
151757.0,108.5,2.6424924726597965E-5
151757.0,109.5,1.8685714167077094E-5
151757.0,110.5,2.1449988707900047E-5
151757.0,111.5,2.0086776203243062E-5
151757.0,112.5,2.0470351955736987E-5
151757.0,113.5,1.4278720300353598E-5
151757.0,114.5,1.639470792724751E-5
151757.0,115.5,2.24528594117146E-5
151757.0,116.5,2.6658053684514016E-5
151757.0,117.5,9.52356422203593E-5
151757.0,118.5,3.7890429666731507E-5
151757.0,119.5,6.509842205559835E-5
151757.0,120.5,2.1408218890428543E-4
151757.0,121.5,0.008847636170685291
151757.0,122.5,7.93168437667191E-5
151757.0,123.5,4.9687154387356713E-5
151757.0,124.5,3.636470137280412E-5
151757.0,125.5,3.258717697462998E-5
151757.0,126.5,4.982983955414966E-5
151757.0,127.5,2.304273766640108E-5
151757.0,128.5,1.7840520740719512E-5
151757.0,129.5,2.1649038899340667E-5
151757.0,130.5,1.8128480587620288E-4
151757.0,131.5,2.7676467652781866E-5
151757.0,132.5,2.2597145289182663E-5
151757.0,133.5,2.4078598653431982E-4
151757.0,134.5,2.0896472051390447E-5
151757.0,135.5,4.6452310925815254E-5
151757.0,136.5,3.0042547223274596E-5
151757.0,137.5,3.2091957109514624E-5
151757.0,138.5,3.119057510048151E-5
151757.0,139.5,9.386578312842175E-5
151757.0,140.5,7.654480577912182E-5
151757.0,141.5,4.3751839257311076E-5
151757.0,142.5,4.680340498453006E-5
151757.0,143.5,5.365105243981816E-5
151757.0,144.5,5.2583087381208315E-5
151757.0,145.5,5.559673081734218E-5
151757.0,146.5,6.909854710102081E-5
151757.0,147.5,8.390439325012267E-5
151757.0,148.5,8.604983304394409E-5
151757.0,149.5,7.8206168836914E-5
151757.0,150.5,8.722301572561264E-5
151757.0,151.5,9.491977107245475E-5
151757.0,152.5,1.2191337009426206E-4
151757.0,153.5,1.3489990669768304E-4
151757.0,154.5,2.248425007564947E-4
151757.0,155.5,1.987956784432754E-4
151757.0,156.5,2.000406529987231E-4
151757.0,157.5,1.7709418898448348E-4
151757.0,158.5,1.7637501878198236E-4
151757.0,159.5,1.7326726811006665E-4
151757.0,160.5,1.948829012690112E-4
151757.0,161.5,2.3000269720796496E-4
151757.0,162.5,2.664731873665005E-4
151757.0,163.5,2.876819926314056E-4
151757.0,164.5,3.338558308314532E-4
151757.0,165.5,5.259491153992712E-4
151757.0,166.5,3.4993584267795086E-4
151757.0,167.5,4.300902073737234E-4
151757.0,168.5,4.5542369480244815E-4
151757.0,169.5,6.028061616234481E-4
151757.0,170.5,6.971306866034865E-4
151757.0,171.5,7.040798082016408E-4
151757.0,172.5,7.706917240284383E-4
151757.0,173.5,7.726706098765135E-4
151757.0,174.5,9.453407255932689E-4
151757.0,175.5,0.0011603417806327343
151757.0,176.5,0.001247977721504867
151757.0,177.5,0.0015252535231411457
151757.0,178.5,0.001695864018984139
151757.0,179.5,0.0016883562784641981
151757.0,180.5,0.0021657536271959543
151757.0,181.5,0.002604809356853366
151757.0,182.5,0.0024381608236581087
151757.0,183.5,0.0026118862442672253
151757.0,184.5,0.0022426380310207605
151757.0,185.5,0.0025644348934292793
151757.0,186.5,0.002968715038150549
151757.0,187.5,0.003329145722091198
151757.0,188.5,0.003584124380722642
151757.0,189.5,0.003938454668968916
151757.0,190.5,0.004148679319769144
151757.0,191.5,0.004430762026458979
151757.0,192.5,0.004756332840770483
151757.0,193.5,0.0036689788103103638
151757.0,194.5,0.006051164120435715
151757.0,195.5,0.005896902643144131
151757.0,196.5,0.006645644549280405
151757.0,197.5,0.006761734839528799
151757.0,198.5,0.006799730472266674
151757.0,199.5,0.0073949191719293594
151757.0,200.5,0.007991648279130459
151757.0,201.5,0.008933666162192822
151757.0,202.5,0.008189654909074306
151757.0,203.5,0.009482873603701591
151757.0,204.5,0.010552400723099709
151757.0,205.5,0.010874264873564243
151757.0,206.5,0.011263386346399784
151757.0,207.5,0.01312256883829832
151757.0,208.5,0.014936941675841808
151757.0,209.5,0.021179817616939545
151757.0,210.5,0.02718571573495865
151757.0,211.5,0.03368865326046944
151757.0,212.5,0.03262096270918846
151757.0,213.5,0.03000490367412567
151757.0,214.5,0.04200531542301178
151757.0,215.5,0.0351705364882946
151757.0,216.5,0.03329561650753021
151757.0,217.5,0.03334818035364151
151757.0,218.5,0.046428143978118896
151757.0,219.5,0.049047067761421204
151757.0,220.5,0.04870579019188881
151757.0,221.5,0.034559499472379684
151757.0,222.5,0.050693079829216
151757.0,223.5,0.06416112184524536
151757.0,224.5,0.05880608782172203
151757.0,225.5,0.053110938519239426
151757.0,226.5,0.036744650453329086
151757.0,227.5,0.038307107985019684
151757.0,228.5,0.05446498841047287
151757.0,229.5,0.04519697278738022
151757.0,230.5,0.05611257627606392
151757.0,231.5,0.0479220449924469
151757.0,232.5,0.050048600882291794
151757.0,233.5,0.0444280281662941
151757.0,234.5,0.035659514367580414
151757.0,235.5,0.056026965379714966
151757.0,236.5,0.04398762434720993
151757.0,237.5,0.052972856909036636
151757.0,238.5,0.03743617236614227
151757.0,239.5,0.04393749684095383
151757.0,240.5,0.04040270298719406
151757.0,241.5,0.047298260033130646
151757.0,242.5,0.0689878836274147
151757.0,243.5,0.06303713470697403
151757.0,244.5,0.06245375797152519
151757.0,245.5,0.04951782152056694
151757.0,246.5,0.048425763845443726
151757.0,247.5,0.05648532882332802
151757.0,248.5,0.04353911057114601
151757.0,249.5,0.05297497659921646
151757.0,250.5,0.058577511459589005
151757.0,251.5,0.046783290803432465
151757.0,252.5,0.039245400577783585
151757.0,253.5,0.05054643377661705
151757.0,254.5,0.057543106377124786
151757.0,255.5,0.08021274954080582
151757.0,256.5,0.09551358968019485
151757.0,257.5,0.12096086889505386
151757.0,258.5,0.128712996840477
151757.0,259.5,0.10362786799669266
151757.0,260.5,0.08644256740808487
151757.0,261.5,0.08298449218273163
151757.0,262.5,0.10821820795536041
151757.0,263.5,0.15729187428951263
151757.0,264.5,0.24400830268859863
151757.0,265.5,0.25482243299484253
151757.0,266.5,0.24528276920318604
151757.0,267.5,0.24951982498168945
151757.0,268.5,0.2495175004005432
151757.0,269.5,0.22257769107818604
151757.0,270.5,0.28136199712753296
151757.0,271.5,0.23382984101772308
151757.0,272.5,0.18201600015163422
151757.0,273.5,0.21309758722782135
151757.0,274.5,0.12456075102090836
151757.0,275.5,0.17678244411945343
151757.0,276.5,0.24471428990364075
151757.0,277.5,0.24441933631896973
151757.0,278.5,0.16041943430900574
151757.0,279.5,0.0830020159482956
151757.0,280.5,0.09381788969039917
151757.0,281.5,0.21077291667461395
151757.0,282.5,0.2938569188117981
151757.0,283.5,0.3284261226654053
151757.0,284.5,0.2500210404396057
151757.0,285.5,0.12681499123573303
151757.0,286.5,0.3339874744415283
151757.0,287.5,0.3646804988384247
151757.0,288.5,0.3044748604297638
151757.0,289.5,0.46002164483070374
151757.0,290.5,0.6200312376022339
151757.0,291.5,0.5746815800666809
151757.0,292.5,0.5035227537155151
151757.0,293.5,0.5612702965736389
151757.0,294.5,0.5012039542198181
151757.0,295.5,0.5680156350135803
151757.0,296.5,0.5110548734664917
151757.0,297.5,0.5445940494537354
151757.0,298.5,0.3969196081161499
